zip,CON,DEM,GRE,IND,LIB,REP,UNK,total
48463,0.0,420.0,0.0,0.0,0.0,500.0,0.0,920.0
48464,0.0,0.0,0.0,0.0,0.0,520.0,0.0,520.0
48466,0.0,332.0,0.0,0.0,0.0,0.0,0.0,332.0
48467,0.0,0.0,0.0,0.0,0.0,1510.0,0.0,1510.0
48468,0.0,900.0,0.0,0.0,0.0,0.0,0.0,900.0
48469,0.0,140.0,0.0,0.0,0.0,584.0,0.0,724.0
48471,0.0,510.0,0.0,0.0,0.0,250.0,0.0,760.0
48472,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
48473,0.0,5414.0,58.0,0.0,0.0,3299.0,0.0,8771.0
48475,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0
48480,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0
48501,0.0,609.0,0.0,0.0,0.0,0.0,0.0,609.0
48502,0.0,750.0,0.0,0.0,0.0,1250.0,0.0,2000.0
48503,0.0,8230.0,0.0,0.0,250.0,961.0,0.0,9441.0
48504,0.0,2590.0,0.0,0.0,0.0,10.0,0.0,2600.0
48505,0.0,292.0,0.0,0.0,0.0,0.0,0.0,292.0
48506,0.0,2598.0,0.0,0.0,0.0,1951.0,0.0,4549.0
48507,0.0,9521.0,0.0,0.0,0.0,6007.0,0.0,15528.0
48509,0.0,2631.0,0.0,0.0,0.0,792.0,0.0,3423.0
48519,0.0,1106.0,0.0,0.0,0.0,600.0,0.0,1706.0
48529,0.0,1286.0,0.0,0.0,0.0,0.0,0.0,1286.0
48532,0.0,9928.0,0.0,0.0,0.0,610.0,0.0,10538.0
48601,0.0,948.0,0.0,0.0,0.0,6050.0,0.0,6998.0
48602,0.0,5759.0,0.0,0.0,0.0,2876.0,0.0,8635.0
48603,0.0,7231.0,0.0,0.0,250.0,7098.0,0.0,14579.0
48604,0.0,218.0,0.0,0.0,0.0,750.0,0.0,968.0
48605,0.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0
48609,0.0,4039.0,0.0,0.0,0.0,9088.0,0.0,13127.0
48610,0.0,118.0,0.0,0.0,0.0,0.0,0.0,118.0
48611,0.0,250.0,0.0,0.0,0.0,250.0,0.0,500.0
48612,0.0,402.0,0.0,0.0,0.0,2350.0,0.0,2752.0
48613,0.0,0.0,0.0,0.0,0.0,775.0,0.0,775.0
48615,0.0,180.0,0.0,0.0,0.0,0.0,0.0,180.0
